City_ID,City Name,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
346,Puerto Escondido,MX,1587347213,15.85,-97.07,17,71,78.98,1.54
347,Olafsvik,IS,1587346992,64.89,-23.71,99,92,44.02,18.61
348,Santa Maria,BR,1587347077,-29.68,-53.81,0,77,62.6,2.24
349,Oktyabrskoye,RU,1587347213,43.06,44.74,3,86,37.4,4.47
350,Egvekinot,RU,1587347213,66.32,-179.17,92,90,12.56,12.8
351,Henties Bay,NA,1587346988,-22.12,14.28,30,93,59,3
352,Umm Lajj,SA,1587347214,25.02,37.27,0,58,71.49,4.07
353,Tacuati,PY,1587347214,-23.45,-56.58,0,70,67.86,4.03
354,Itarema,BR,1587347214,-2.92,-39.92,21,87,77.07,1.95
355,Sabang,ID,1587347214,5.89,95.32,6,76,84.6,10.96
356,Roanoke Rapids,US,1587347215,36.46,-77.65,100,100,60.8,6.58
357,Alvorada,BR,1587347072,-12.48,-49.12,100,86,73.94,3.8
358,Berbera,SO,1587347215,10.44,45.01,70,75,83.59,8.46
359,Sioux Lookout,CA,1587347057,50.1,-91.92,90,50,35.6,13.87
360,Moose Factory,CA,1587347215,51.26,-80.61,1,60,10.4,2.24
361,Tabatinga,BR,1587347215,-4.25,-69.94,3,100,77,0.4
362,Xuddur,SO,1587347041,4.12,43.89,100,69,75.97,5.44
363,La Asuncion,VE,1587347035,11.03,-63.86,1,78,80.6,18.34
364,Mogok,MM,1587347216,22.92,96.5,0,17,88.93,2.42
365,Touros,BR,1587346931,-5.2,-35.46,40,94,77,4.7
366,Taloqan,AF,1587347216,36.74,69.53,88,35,64.08,0.56
367,Eureka,US,1587347216,40.8,-124.16,59,72,55,3
368,Shimoda,JP,1587347017,34.67,138.95,75,100,52,11.41
369,Eydhafushi,MV,1587347217,5.1,73.07,91,74,85.86,9.98
370,Kysyl-Syr,RU,1587347217,63.9,122.76,61,88,24.39,5.28
371,Disna,BY,1587347217,55.57,28.2,18,96,29.93,5.59
